,id,link,title,publicationName,affiliation,abstract,publicationDate,ref_count,publicationYear
0,2800,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85062689895&origin=inward,Resistance and exclusion in matsouanist narratives of decolonization in French Congo,French History,[],"© The Author(s) 2019.The decolonization of French Equatorial Africa (AEF) has long been viewed as a smooth and peaceful process. However, this master narrative may be challenged be examining the history of decolonization of a small religious minority in Congo-Brazzaville, the Matsouanists. This article will revisit the process of decolonization in Congo as experienced by the Matsouanists. It is a perspective from the margins through which a different reality of decolonization in Congo can be seen - one of violence and exclusion. This piece will argue that Matsouanist representations of decolonization give historical validation to their feelings of victimhood and social exclusion. The research therefore engages with the broader, and urgent, problem of the politics of remembering and forgetting in Congo, and the impact thereof on social division in present-day Congo.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",71,2018
1,2801,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85062668220&origin=inward,Experimental verification of kinematic model of scorbot ER-4U robot manipulator,International Journal of Mechanical and Production Engineering Research and Development,"[('Government Polytechnic', 'Nagpur', 'India')]","© TJPRC Pvt. Ltd.Kinematic modelling of a robot is important for developing position control algorithms for the robots. This paper features the kinematic modeling of a 5-axis SCORBOT ER 4u stationary articulated robot arm. A mathematical kinematic model was developed based on D-H parameters. The kinematic model was validated experimentally, by comparing reference and measured wrist positions in the Cartesian space.","{'month': '12', 'year': '2018', 'date-text': 'December 2018', 'day': '31'}",20,2018
2,2802,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85062667116&origin=inward,Effect of injection pressure and injection timing in performance and emission characteristics in di engine using blend of methyl esters of algae,International Journal of Mechanical and Production Engineering Research and Development,"[('Bharath Institute of Higher Education and Research', 'Chennai', 'India')]","© TJPRC Pvt. Ltd.In the study on “Performance and Emission Studies on a four stroke internal-combustion engine mistreatment alkyl organic compound of algae oil with EGR”, a detailed investigation of characteristics (performance and emission) of Blends of alkyl Esters of protoctist oil by varying the EGR management price (5 to 20%) mistreatment with direct injection internal-combustion engine was made. From the preceding studies on similar title, it has been established that the discharge in Night is higher in protoctist, primarily based on biodiesel. This paper from the present study focuses on the Night emission, and the way it is reduced by mistreatment with the cooled EGR.","{'month': '12', 'year': '2018', 'date-text': 'December 2018', 'day': '31'}",13,2018
3,2803,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85062639862&origin=inward,An examination of relative clauses in argumentative essays written by EFL learners,Journal of Language and Education,"[('Ferdowsi University of Mashhad', 'Mashhad', 'Iran')]","© 2018 Journal of Language and Education.All right reserved.Syntactic complexity has received a great deal of attention in the literature on second language writing. Relative clauses, which function as a kind of noun phrase post-modifier, are among those structures that are believed to contribute to the complexity of academic prose. These grammatical structures can pose difficulties for EFL writers even at higher levels of proficiency, and it is therefore important to determine the frequency and accuracy with which relative clauses are used by L2 learners since understanding learners' strengths and weaknesses in using these structures can inform teachers on ways to improve the process of their instruction in the writing classroom. This paper reports on a corpus-based comparison of relative clauses in a number of argumentative essays written by native and non-native speakers of English. To this end, 30 argumentative essays were randomly selected from the Persian sub-corpus of the ICLE and the essays were analyzed with respect to the relative clauses found in them. The results were then compared to a comparable corpus of essays by native speakers. Different dimensions regarding the structure of relative clauses were investigated. The type of relative clause (restrictive/non-restrictive), the relativizer (adverbial/pronoun), the gap (subject/nonsubject), and head nouns (both animate and non-animate) in our two sets of data were manually identified and coded. The findings revealed that the non-native writers tended to use a greater number of relative clauses compared to their native-speaker counterparts.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",29,2018
4,2804,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85062634691&origin=inward,Functional and linguistic characteristics of donald trump's victory and inaugural speeches,Journal of Language and Education,"[('HSE University', 'Moscow', 'Russian Federation')]","© 2018 Journal of Language and Education.All right reserved.The current research is devoted to the comparative and contrastive analysis of Donald Trump's victory and inaugural speeches. Its objective is to identify their similarities and differences from the functional and linguistic points of view. The research consists of several stages. First, the two genres of discourse in question are defined. Then, an overview of their functions is provided. Next, the linguistic means of performing them are analyzed. The results of the research indicate that, due to their main goals, the genres in question express certain functions, which can be verbally expressed in various ways: in Trump's victory speech the inspirative function comes to the fore, while in his inaugural address the integrative and the performative functions dominate the other ones. Furthermore, in each case linguistic peculiarities correlate with the functions: in the victory speech the focus is on the 'greatness' of everything and everyone, whereas in the inaugural speech words connected with patriotism prevail, which is expressed mostly by means of personal pronouns. The results of the current research may function as a basis for further analysis of the genre of the victory speech, as it has not received enough scholarly attention yet, and of the peculiarities of Donald Trump's political discourse.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",29,2018
5,2805,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85062626528&origin=inward,Learner autonomy through role plays in english language teaching,Journal of Language and Education,"[('HSE University', 'Moscow', 'Russian Federation')]","© 2018 Journal of Language and Education.All right reserved.Nowadays, learner autonomy is considered to be a multidimensional and diversified concept. A number of scientists have found support for the importance of learner autonomy but there is little empirical research on using different strategies for promoting and evaluating students' autonomy. Accordingly, in order to become better language learners, students should plan, implement, and evaluate their own learning. This study aims at fostering and evaluating students' autonomy by scaffolding their speaking practices through role plays in an English for Special Purposes (ESP) course. The research suggests that role-play strategies should help students develop their autonomy in acquiring ESP speaking skills. The study argues that developing autonomy is an efficient way to improve students' performance in ESP speaking skills as it provides them with relevant scaffolding. This article provides theoretical grounding for autonomy. The entry-level and post-study speaking scores (IELTS test) are compared across experimental and control groups. A class-based training course of ESP speaking was offered in an institutional setting to 38 (15 male, 23 female) second-year students at a national research university in Russia. A special questionnaire was developed to assess learner autonomy in ESP speaking, which proved that role play promoted learner autonomy and encouraged students to master ESP speaking skills. The results of the study indicate that students who were developing their speaking skills via role play performed significantly better than their peers in the control group. The level of their English language competence improved. The role plays in the ESP speaking course proved to be a viable and productive teaching strategy for fostering autonomy among students.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",31,2018
6,2806,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85062607983&origin=inward,The mother tongue of Turkish immigrant children in Berlin: To be or not to be?,Journal of Language and Education,"[('Uniwersytet Śląski w Katowicach', 'Katowice', 'Poland')]","© 2018 Journal of Language and Education.All right reserved.How do bilingual Turkish children develop their mother tongue knowledge in German kindergartens and what are some of the difficulties they face? These are the questions which this paper tries to answer. For this purpose, a study with Turkish kindergarten children from Berlin, Germany was conducted. A total of 40 children were divided into two groups between 3 and 6 years old and tested twice in a year with the TEDIL Test1. The test consists of pictures and measures the knowledge of Turkish nouns, verbs, adjectives, prepositions, and syntax. All of the children were tested individually by a native Turkish speaker and by the researcher. The testing was done in the kindergarten setting. The results showed that the knowledge of both age groups on different grammatical categories in Turkish was equal on the first test and there were no statistical differences. However, during the second test the group of older children showed a decrease in their knowledge of the grammatical categories in their mother tongue. This paper discusses the factors that influenced the regression in the knowledge of Turkish. This study is one of only a few on bilingual Turkish children and it presents new information about mother tongue loss among kindergarten children, discusses the reasons, and suggests that kindergartens and families should cooperate and work together in order to prevent mother tongue loss from a very early age as well as its effect on the cognitive development of bilingual children.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",24,2018
7,2807,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85062599522&origin=inward,Role playing in storytelling classes and its impact on Iranian young EFL learners' narrative writing,Journal of Language and Education,"[('Islamic Azad University', 'Tehran', 'Ireland')]","© 2018 Journal of Language and Education.All right reserved.The present study aimed to investigate the effect of role playing in storytelling classes on Iranian young EFL learners' narrative writing. Forty-seven pre-intermediate young EFL learners who were within the age range of 9 and 16 participated in this study. They were members of four intact classes, which consisted of two classes of boys and two classes of girls. One class of boys and one class of girls were randomly assigned to the experimental groups and the other two to control groups. The researchers used the role-playing technique for storytelling classes in the experimental groups and only reading stories aloud for storytelling classes in the control groups. After the treatment, the Multivariate Analysis of Variance (MANOVA) was run to compare the four groups' improvement on narrative writing. The results signified that the use of role playing in the storytelling classes had a significant impact on the narrative writing of Iranian young EFL learners as compared to the reading stories aloud technique. Furthermore, the findings showed that using role playing in storytelling classes enhanced learners' understanding of the narrative writing style and patterns of the target language.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",34,2018
8,2808,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85062596442&origin=inward,Job focus: Revisiting students' communicative needs and industrial demands,Journal of Language and Education,"[('Sohar University', 'Sohar', 'Oman')]","© 2018 Journal of Language and Education.All right reserved.In an attempt to develop students' employability skills through a job-specific, needs based English for Specific Purposes (ESP) course, this paper investigated conducting a needs analysis to understand the perceptions of the final-year technical students, alumni, and Human Resources (HR) managers for promoting placements in the campus recruitments. By employing a qualitative ethnographic approach, an open-ended questionnaire was conducted with finalyear information technology students and structured and unstructured interviews with the HR managers and the alumni respectively. In this study, the communicative needs of the finalyear technical students were specifically addressed to provide them with career education and placement training and raise employment opportunities in their course of study. Based on the results of the questionnaire-based survey and subsequent observations in the structured and unstructured interviews, it is widely examined that all of the HR managers reflected on the importance of English language in corporate communications. The findings of the survey also reflected that the perceptions of the alumni and the expectations of the HR managers on verbal and nonverbal skills were well received by the final-year technical students. This is a positive development on the part of students as they were found to be thoroughly aware of their workplace needs and were keen to develop language, communication, and soft skills for successfully entering into the job market. This research implies that connecting institution and industry is a significant factor in helping students obtain job offers and develop the job-specific skills that meet the requirements of the industry.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",47,2018
9,2809,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85062595171&origin=inward,Effects of mastery learning instruction on engineering students' writing skills development and motivation,Journal of Language and Education,"[('Bahir Dar Health Science College', 'Bahar Dar', 'Ethiopia')]","© 2018 Journal of Language and Education.All right reserved.This study was aimed to investigate the effects of mastery learning instruction on engineering students' academic writing skills and motivation in an EFL context. The participants were software engineering and computer science first-year students, and they were selected using a multistage sampling technique. Observation, a questionnaire, and pre-and post-tests were employed as data gathering instruments. The research was designed through a time series quasi-experimental research design. The data were analysed through repeated measure ANOVA, independent t-tests, as well as descriptive statistics. The findings indicated that there was a statistical difference between the experimental and the control groups. Hence, students who participated in mastery learning instruction improved their writing skills and achieved better scores in writing skills assessment. Particularly, learners who learned through mastery learning instruction were able to develop paragraphs and essays with clear topic sentences and thesis statements. They also developed paragraphs with proper punctuation and minimized various mechanical errors that were observed during the pre-test. Furthermore, the students who engaged in mastery learning instruction had better levels of motivation. Thus, individualized instruction and continuous feedback helped them improve their engagement in writing activities. Hence, this study calls for more attention to self-paced instruction, regular feedback, assessment, and continuous support in writing classrooms.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",54,2018
