,id,link,title,publicationName,affiliation,abstract,publicationDate,ref_count,publicationYear
0,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85182240571&origin=inward,Social Progress for Resilient Regions,Region,"[('European Investment Bank', 'Luxembourg', 'Luxembourg')]","© 2018, European Regional Science Association. All rights reserved.This paper is the base text for the speech of the then EIB Vice President1 Mr. Pim van Ballekom at the ERSA Congress in Groningen, on August 2017. This text represents his and the Bank’s views on the topic “Social Progress for Resilient Regions”. Although in his speech he deviated from the prepared speech to react on topics raised by the other speakers, this text and its contents remain valid.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",2,2018
1,1,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85168393181&origin=inward,Fashion language and translatology,Babel,"[('University of Montenegro', 'Podgorica', 'Montenegro')]","© John Benjamins Publishing Company.My study is based on art exhibitions, fashion shows, photo books, movies, magazines, advertisements, blogs, scientific papers and interviews, and fashion vocabulary. Philology literally means love for the word. It is the love for the word that unites philologists with translators, researchers, scientists, and fashion specialists. The translatological analysis of this specialist language is a reduced selection of 200 idioms, illustrative examples from English, Montenegrin or Serbian, and Italian. Also, habitual fashion collocations constitute a significant part of the translatological analysis. I have completed my analysis with contemporary terminology of fashion clothing terms and words in English and their equivalents in Italian, almost 150 of them, compiled in a small glossary. This small glossary will be of great help to fashion and clothing industry professionals. Through their level of engagement, public figures from the world of art, music, fashion and politics, as well-known officials, actors or celebrities, have become the new trend-setters in all societies and also dictators of fashion, because they set the trends and fashion standards which others follow.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",18,2018
2,2,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85168372681&origin=inward,A pragmatic framework to note-taking in consecutive interpretation,Babel,"[('An-Najah National University', 'Nablus', 'Palestine')]","© John Benjamins Publishing Company.This study provides a framework that immediately and efficiently guides the selection of the message components for note-taking to successfully capture implicatures in consecutive interpretation. The framework revisits the Quantity, Informativeness, and Manner (Q, I and M) heuristics of communication by Levinson (1995, 2000). Three interpretation principles are suggested (I-Q, I-I and I-M) (I for interpretation). The principles are applied to the main parts of the message (vocabulary, connectives, and marked forms) following Johns (2014). The I-Q principle advises interpreters to select the words that are most consistent with the speaker’s best knowledge of the world and to communicate them as such; the I-I principle advises interpreters to simply and systematically notate the connectives that exemplify a similar connection to the SM; the I-M principle advocates that interpreters should mark any instances of marked forms such as over-lexicalization, prolixity, and repetition, and relay them with a similar level of markedness to communicate a similar attitude of the SM speaker in the TL.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",17,2018
3,3,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85166929946&origin=inward,An Analytic Approximation to the Density of Twin Primes,Recoletos Multidisciplinary Research Journal,"[('Agusan del Sur State College of Agriculture and Technology', 'Bunawan', 'Philippines')]","© 2018, University of San Jose-Recoletos. All rights reserved.The highly irregular and rough fluctuations of the twin primes below or equal to a positive integer x (x≤107) are considered in this study. The occurrence of a twin prime on an interval [0,x] is assumed to be random. In particular, we considered the waiting time between arrivals of twin primes as approximated by a geometric distribution which possesses the discrete memory-less property. For large n, the geometric distribution is well-approximated by the exponential distribution. The number of twin primes less or equal to x will then follow the Poisson distribution with the same rate parameter as the exponential distribution. The results are compared with the Hardy-Littlewood conjecture on the frequency of twin primes. We successfully demonstrated that for large n, the proposed model is superior to the H-L conjecture in predicting the frequency of twin primes.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",11,2018
4,4,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85162728044&origin=inward,DANCE MOTIFS ON PREHISTORIC POTTERY FROM EASTERN CROATIA,Vjesnik Arheoloskog Muzeja u Zagrebu,"[('Centre for Experimental Archaeology', 'Zagreb', 'Croatia')]","© 2018, Archaeological museum in Zagreb. All rights reserved.In the last few decades, research on dance in the archaeological record has identified several key indicators for recognizing dance representations on the archaeological material, the most prominent being the positions of the body extremities of the anthropomorphic characters depicted, and certain forms and elements relating to the overall composition of the depiction. In addition, the portrayal of hands and fingers is a very common accompanying feature. On the basis of these features, three anthropomorphic depictions found on prehistoric pottery from Croatia – from the sites of Franjevac, Vučedol and Novigrad on Sava – are analysed in this paper, and arguments for their inclusion in the corpus of archaeological depictions of dance are presented","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",37,2018
5,5,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85160651147&origin=inward,Ricoeur’s Hermeneutics: Transforming Political Structures into Just Institutions through the Critical Appropriation of Political Power,Recoletos Multidisciplinary Research Journal,"[('Cebu Normal University', 'Cebu', 'Philippines')]","© 2018, University of San Jose-Recoletos. All rights reserved.In this paper, I aim to show that the critical appropriation of political power can be a potential tool in transforming political structures into just institutions. To achieve this aim, I employ Ricoeur’s hermeneutics of symbols because in his different political essays, he con-sistently regards political power as akin to a symbol. Thus, for him, the critical appropriation of political power requires a hermeneutical procedure. And so in my discussion, I devote one section for Ricoeur’s hermeneutics of symbols, one for his thoughts on political power, and another one for the critical appropriation of political power through the hermeneutics of symbols. To put Ricoeur’s political and hermeneutical thoughts in a better light, I introduce these sections with a separate section on his philosophical anthropology. In my conclusion, I affirm that transforming political structures into just institutions is very much possible through the critical appropriation of political power. It is such a potential tool in effecting these transformations because the critical appropriation of political power involves a hermeneutical procedure that follows a three-step process of reflection. And reflection, which makes way for the critical appropriation of political power, is what ensures that power rests only in the hands of those who are more likely to advance the common good, resulting into a greater possibility for the transformation of political structures into just institutions.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",38,2018
6,6,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85160637511&origin=inward,Socio-Economic Indicators of Coastal Resource Management Participation: The Bataan Case,Recoletos Multidisciplinary Research Journal,"[('Bataan Peninsula State University', 'City of Balanga', 'Philippines')]","© 2018, University of San Jose-Recoletos. All rights reserved.Recognizing the human dimension on participation to environmental conservation initiatives, this study determined the socio-economic characteristics of stakeholders in Bataan Coastal Resource Management (CRM) and how these variables influence their participation in the process. Data were collected through a survey. Four variables revealed to be independent indicators of high or poor CRM participation: the stakeholders’ locality income class, age, level of education, and household size. These indicators are important matters to cogitate for they are indirect drivers of the success or failure of CRM activities. It is concluded that Bataan CRM in the Philippines needs to be reviewed to tackle socio-economic barriers to engagement. Assessment of the process of selecting Bataan CRM participants; strength-ened information, education, and communication component through an enriched content and rationalized delivery; institution of a unified CRM database system; and establishment of a provincial CRM research center are all recommended to counteract stakeholder es-trangement and unresponsiveness to CRM efforts.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",20,2018
7,7,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85160636983&origin=inward,Geographic Information System-Based Suitability Analysis for Potential Shallow Tube-Well Irrigation Development,Recoletos Multidisciplinary Research Journal,"[('Cagayan State University', 'Tuguegarao', 'Philippines')]","© 2018, University of San Jose-Recoletos. All rights reserved.TThis study developed a geographic information system (GIS)-based decision support system in the spatial identification of a viable location for shallow tube-well irrigation development in the province of Isabela. Factors such as slope, soil type; land cover and ground-water depth were used as input parameters. Around 98% of the existing shallow tube-wells were within the suitable area. The developed map was validated using existing irrigated ar-eas. Results show that more than 377,000 hectares were found potentially suitable locations for shallow tube-well irrigation development. These areas are characterized with a water table depth of <6.5 m, a slope of<18%, soil textures (sandy loam, clay loam, and sandy clay). Sufficient factors in combination with the GIS tool is a great tool to carry out spatial data in land-use analysis and the use of this as a means in identifying viable locations for shallow tube-well irrigation development in other places is reliable.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",22,2018
8,8,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85153625255&origin=inward,Energy Conservation in Academic Institutions: An Application of Theory of Planned Behavior,Recoletos Multidisciplinary Research Journal,"[('Cebu Technological University', 'Cebu', 'Philippines')]","© 2018, University of San Jose-Recoletos. All rights reserved.Energy conservation is a buzzword that cuts across a broad spectrum of stakeholders. It has been widely practiced, developed, and discussed in government, political, and industrial sectors due to its massive impact on tackling issues related to climate change and global warming as well as presenting opportunities to cut energy costs. Despite the active discussion of this topic in the literature, very few papers have discussed it in the context of academic institutions which has one of the most significant impacts in terms of energy consumption. To address the issue, this paper places the topic of energy conservation in the context of academic institutions. Moreover, it adopts the Theory of Planned Behavior to investigate the success of energy conservation initiatives in academic institutions by looking at user behavior and its antecedents. Finally, this paper contributes significantly to the literature as it is one of the very few papers and arguably the first to discuss energy conservation in the context of academic institutions using the Theory of Planned Behavior. Furthermore, this paper will be beneficial for practitioners and other stakeholders in that it provides them with a framework to investigate the success of implementing energy conservation initiatives, especially, in academic institutions by looking at the antecedents of user behavior.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",17,2018
9,9,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85147939728&origin=inward,From perfect to narrative tense: The development of an evidential meaning examined generally and in the Even language,Studies in Language,"[('Helsingin Yliopisto', 'Helsinki', 'Finland')]","© John Benjamins Publishing Company.2,500 years ago PāṆini identified the Sanskrit perfect form as expressing a non-witnessed, and therefore, evidential meaning. Across languages, the perfect is still attested as one of the central verb forms acquiring meanings of information source. This paper investigates the development of the perfect meaning into evidential meanings from two vantage points: firstly, cross-linguistically, and, secondly, in the North-Tungusic language Even. The perfect meaning typically evolves into the evidential meaning of inference, a development which has been documented in two of the three main dialects of Even by Malchukov (2000). Inference is accompanied by a mirative interpretation in first-person contexts; the current study shows that this interpretation extends to second person. As is cross-linguistically common, in Even inference has evolved to a non-witnessed meaning. By losing its perfect “nature”, this use has crossed over to the domain of discourse to signal a narrative genre by functioning as a narrative tense.","{'month': '12', 'year': '2018', 'date-text': {'@xfab-added': 'true', '$': '31 December 2018'}, 'day': '31'}",77,2018
